交易日,合约,会员类别,总成交量,比上交易日增减,总持买单量,比上交易日增减,总持卖单量,比上一交易日增减
20191118,IF1912                        ,期货公司,143804,380,92948,-277,92948,-277
20191118,IF1912                        ,非期货公司,0,0,0,0,0,0
20191118,IF2003                        ,期货公司,8438,-334,12403,139,12403,139
20191118,IF2003                        ,非期货公司,0,0,0,0,0,0
交易日,合约,排名,成交量排名,,,持买单量排名,,,持卖单量排名,,
,,,会员简称,成交量,比上一交易日增减,会员简称,持买单量,比上一交易日增减,会员简称,持卖单量,比上一交易日增减
20191118,IF1912                        ,1,中信期货,13352,1138,中信期货,12418,404,中信期货,8802,-152
20191118,IF1912                        ,2,国泰君安,9053,-3,海通期货,5639,287,上海东证,7840,-134
20191118,IF1912                        ,3,海通期货,7949,-99,国泰君安,4595,-327,申银万国,6158,-232
20191118,IF1912                        ,4,兴证期货,6201,333,华泰期货,4099,123,华泰期货,5438,-88
20191118,IF1912                        ,5,华泰期货,5357,87,中金期货,3977,435,海通期货,4882,-108
20191118,IF1912                        ,6,上海东证,4531,-526,广发期货,3801,-1,国泰君安,4486,88
20191118,IF1912                        ,7,银河期货,4440,3,永安期货,3131,-238,中金期货,4411,-190
20191118,IF1912                        ,8,五矿经易,4078,186,申银万国,2556,-110,银河期货,3463,235
20191118,IF1912                        ,9,申银万国,3992,-973,上海东证,2534,-95,兴证期货,3380,243
20191118,IF1912                        ,10,国信期货,3898,115,五矿经易,2531,-301,广发期货,2269,99
20191118,IF1912                        ,11,广发期货,3714,-377,国投安信,2474,-112,中信建投,1987,199
20191118,IF1912                        ,12,光大期货,3260,248,兴证期货,2377,162,光大期货,1912,30
20191118,IF1912                        ,13,方正中期,3093,35,银河期货,1683,-81,国信期货,1825,-53
20191118,IF1912                        ,14,西部期货,3091,191,大越期货,1521,7,国投安信,1757,-75
20191118,IF1912                        ,15,国投安信,2775,-197,东兴期货,1449,-66,五矿经易,1626,-85
20191118,IF1912                        ,16,华西期货,2660,442,华鑫期货,1356,162,华西期货,1562,-119
20191118,IF1912                        ,17,中信建投,2625,-206,光大期货,1348,-146,方正中期,1542,-138
20191118,IF1912                        ,18,永安期货,2548,-395,国信期货,1337,-125,永安期货,1346,-84
20191118,IF1912                        ,19,东兴期货,2462,-69,方正中期,1323,-7,招商期货,1128,181
20191118,IF1912                        ,20,海证期货,1948,172,一德期货,1316,47,宏源期货,1086,-125
20191118,IF2003                        ,1,中信期货,1124,-312,东吴期货,2214,10,平安期货,1828,-94
20191118,IF2003                        ,2,华西期货,908,-154,中信期货,1364,41,中信期货,1483,97
20191118,IF2003                        ,3,上海东证,829,-11,上海东证,680,44,国泰君安,1197,-96
20191118,IF2003                        ,4,国泰君安,445,-99,海通期货,529,127,上海东证,712,59
20191118,IF2003                        ,5,国信期货,303,13,国投安信,428,-20,海通期货,598,58
20191118,IF2003                        ,6,兴证期货,295,-58,一德期货,400,12,广发期货,572,92
20191118,IF2003                        ,7,国投安信,295,25,兴证期货,372,-79,国信期货,458,70
20191118,IF2003                        ,8,华泰期货,280,73,华西期货,317,83,申银万国,427,9
20191118,IF2003                        ,9,海通期货,275,24,华泰期货,316,-17,银河期货,422,-1
20191118,IF2003                        ,10,西部期货,238,-17,银河期货,315,-9,南华期货,415,33
20191118,IF2003                        ,11,招商期货,237,71,申银万国,296,-29,华泰期货,385,-9
20191118,IF2003                        ,12,南华期货,197,105,国泰君安,281,-67,华西期货,340,79
20191118,IF2003                        ,13,平安期货,193,-20,大越期货,222,0,永安期货,319,-2
20191118,IF2003                        ,14,光大期货,164,84,五矿经易,213,12,方正中期,247,16
20191118,IF2003                        ,15,五矿经易,162,28,华联期货,213,2,兴证期货,226,-74
20191118,IF2003                        ,16,广发期货,150,53,国信期货,204,33,光大期货,221,19
20191118,IF2003                        ,17,新湖期货,146,46,广发期货,201,-4,国投安信,204,-43
20191118,IF2003                        ,18,申银万国,140,2,中信建投,199,-12,鲁证期货,147,19
20191118,IF2003                        ,19,银河期货,110,-37,永安期货,174,25,宝城期货,123,-27
20191118,IF2003                        ,20,天风期货,106,-38,光大期货,174,97,招商期货,114,-23
