"郑州商品交易所期货持仓排名表(2019-11-18)","","","","","","","","",""
"品种：苹果AP     日期：2019-11-18","","","","","","","","",""
"名次","会员简称","成交量（手）","增减量","会员简称","持买仓量","增减量","会员简称","持卖仓量","增减量"
"1","东证期货","48,542","6,694","华泰期货","6,101","-455","中信期货","9,351","979"
"2","海通期货","23,392","9,498","中信期货","5,055","-652","华泰期货","7,439","40"
"3","中信期货","19,935","4,384","徽商期货","4,830","-66","徽商期货","4,718","237"
"4","华泰期货","17,759","1,625","浙商期货","3,916","-258","永安期货","3,899","-31"
"5","徽商期货","16,101","2,842","东证期货","3,358","-129","国投安信期货","3,192","-95"
"6","东吴期货","15,427","5,203","国投安信期货","3,161","172","海通期货","3,097","855"
"7","光大期货","13,315","2,466","永安期货","2,901","1,282","中粮期货","2,735","38"
"8","华安期货","12,499","3,269","先锋期货","2,794","19","东证期货","2,683","371"
"9","国泰君安","9,269","989","中粮期货","2,372","-36","东吴期货","2,659","441"
"10","新湖期货","8,710","487","鲁证期货","2,312","-418","安粮期货","2,527","238"
"11","鲁证期货","8,070","3,280","国泰君安","2,138","-247","国泰君安","2,485","262"
"12","方正中期","7,900","3,185","华安期货","2,094","323","鲁证期货","2,416","-208"
"13","永安期货","7,769","3,346","安粮期货","2,075","147","一德期货","2,346","-113"
"14","中信建投","7,173","3,044","光大期货","1,963","787","银河期货","2,052","-88"
"15","申银万国","6,272","1,808","广发期货","1,928","103","华安期货","1,974","94"
"16","浙商期货","6,128","2,346","国富期货","1,921","-71","国海良时","1,937","305"
"17","东方财富","5,802","2,341","方正中期","1,810","208","宏源期货","1,726","162"
"18","国投安信期货","5,747","2,215","长江期货","1,759","63","金元期货","1,716","57"
"19","先锋期货","5,697","2,514","申银万国","1,731","330","方正中期","1,709","68"
"20","宏源期货","5,678","-1,041","一德期货","1,659","350","先锋期货","1,668","368"
"合计","","251,185","60,495","","55,878","1,452","","62,329","3,980"
"品种：棉花CF     日期：2019-11-18","","","","","","","","",""
"名次","会员简称","成交量（手）","增减量","会员简称","持买仓量","增减量","会员简称","持卖仓量","增减量"
"1","华泰期货","89,113","-5,788","永安期货","34,451","-89","东证期货","56,088","795"
"2","海通期货","83,644","-3,181","鲁证期货","34,121","-67","国投安信期货","45,194","-1,897"
"3","东证期货","48,523","-1,025","东证期货","33,455","-470","中粮期货","32,661","1,494"
"4","新湖期货","41,410","14,707","一德期货","32,429","-2,506","长江期货","30,163","292"
