商品名称:铜                  ,合约代码:cuall                         ,,,,,,,,,
,期货公司  ,期货公司  ,239630,-67595,期货公司  ,期货公司  ,267360,4217,期货公司  ,期货公司  ,275383,4149,
商品名称:铜                  ,合约代码:cuall                         ,,,,,,,,,
,非期货公司,非期货公司,2904,-513,非期货公司,非期货公司,12300,-372,非期货公司,非期货公司,4277,-304,
RANK1合约代码:cu1910                        ,,,,,,,,,,
1,0009      ,五矿经易  ,970,-4125,0004      ,国泰君安  ,1615,350,0049      ,金瑞期货  ,3075,-40,
2,0081      ,海通期货  ,820,365,0081      ,海通期货  ,1150,285,0315      ,云晨期货  ,600,410,
3,0308      ,国信期货  ,600,600,0308      ,国信期货  ,1000,600,0121      ,格林大华  ,410,0,
4,0004      ,国泰君安  ,590,-1435,0034      ,方正中期  ,810,-235,0169      ,兴业期货  ,255,-5,
5,0148      ,中信期货  ,555,-1240,0177      ,大地期货  ,440,90,0148      ,中信期货  ,230,-405,
6,0034      ,方正中期  ,540,-565,0372      ,中银国际  ,200,45,0277      ,一德期货  ,220,-105,
7,0315      ,云晨期货  ,410,215,0240      ,广发期货  ,110,30,0163      ,东证期货  ,170,0,
8,0372      ,中银国际  ,345,-155,0003      ,建信期货  ,80,20,0139      ,中粮期货  ,140,75,
9,0049      ,金瑞期货  ,245,-830,0163      ,东证期货  ,70,0,0009      ,五矿经易  ,135,-735,
10,0277      ,一德期货  ,205,-185,0268      ,中信建投  ,65,60,0003      ,建信期货  ,40,-60,
11,0008      ,上海中期  ,200,65,0125      ,中大期货  ,60,0,0123      ,浙商期货  ,40,0,
12,0082      ,国投安信  ,170,35,0148      ,中信期货  ,55,-70,0240      ,广发期货  ,25,5,
13,0007      ,东海期货  ,155,-310,0028      ,通惠期货  ,40,40,0058      ,国贸期货  ,5,5,
14,0031      ,中航期货  ,150,130,0259      ,华闻期货  ,25,0,0159      ,倍特期货  ,5,0,
15,0139      ,中粮期货  ,145,85,0169      ,兴业期货  ,20,20,,,,,
16,0240      ,广发期货  ,145,-110,0073      ,东华期货  ,5,5,,,,,
17,0003      ,建信期货  ,140,-1095,0272      ,银河期货  ,5,-25,,,,,
18,0051      ,华金期货  ,120,-20,,,,,,,,,
19,0103      ,永安期货  ,115,-480,,,,,,,,,
20,0058      ,国贸期货  ,105,-690,,,,,,,,,
合计:cu1910                        ,,,6725,-9745,,,5750,1215,,,5350,-855,
RANK1合约代码:cu1911                        ,,,,,,,,,,
1,0253      ,华泰期货  ,13172,-5698,0049      ,金瑞期货  ,10462,-258,0009      ,五矿经易  ,11025,-100,
2,0163      ,东证期货  ,6893,124,0315      ,云晨期货  ,6927,-143,0081      ,海通期货  ,6017,242,
3,0009      ,五矿经易  ,3929,-3560,0103      ,永安期货  ,4527,-274,0148      ,中信期货  ,5393,-1150,
4,0148      ,中信期货  ,3792,-1046,0009      ,五矿经易  ,3987,125,0049      ,金瑞期货  ,5220,423,
5,0082      ,国投安信  ,3309,181,0003      ,建信期货  ,3840,-46,0103      ,永安期货  ,5136,-25,
6,0081      ,海通期货  ,3143,259,0058      ,国贸期货  ,3741,612,0299      ,华安期货  ,3932,-122,
7,0320      ,大有期货  ,3064,410,0148      ,中信期货  ,3279,-652,0082      ,国投安信  ,3881,-860,
8,0308      ,国信期货  ,2883,1106,0253      ,华泰期货  ,2996,-276,0058      ,国贸期货  ,3704,727,
9,0058      ,国贸期货  ,2395,-335,0025      ,铜冠金源  ,2521,282,0003      ,建信期货  ,3573,-92,
10,0025      ,铜冠金源  ,1968,-679,0081      ,海通期货  ,1954,279,0240      ,广发期货  ,2785,-527,
11,0049      ,金瑞期货  ,1939,-436,0069      ,申万期货  ,1732,-100,0139      ,中粮期货  ,2438,-116,
12,0299      ,华安期货  ,1843,-192,0169      ,兴业期货  ,1672,4,0121      ,格林大华  ,2273,227,
13,0272      ,银河期货  ,1596,-163,0277      ,一德期货  ,1626,168,0004      ,国泰君安  ,2098,288,
14,0004      ,国泰君安  ,1346,-142,0034      ,方正中期  ,1507,-43,0372      ,中银国际  ,2017,158,
15,0372      ,中银国际  ,1307,-173,0178      ,弘业期货  ,1404,23,0169      ,兴业期货  ,1763,-265,
16,0096      ,南华期货  ,1293,-1214,0272      ,银河期货  ,1347,18,0275      ,鲁证期货  ,1704,16,
17,0103      ,永安期货  ,1161,5,0067      ,中财期货  ,1328,0,0047      ,迈科期货  ,1695,107,
18,0003      ,建信期货  ,1072,-543,0096      ,南华期货  ,1328,58,0272      ,银河期货  ,1643,-848,
19,0240      ,广发期货  ,1061,35,0004      ,国泰君安  ,1178,-150,0308      ,国信期货  ,1642,1109,
20,0277      ,一德期货  ,1060,299,0268      ,中信建投  ,1161,-33,0277      ,一德期货  ,1316,164,
合计:cu1911                        ,,,58226,-11762,,,58517,-406,,,69255,-644,
RANK1合约代码:cu1912                        ,,,,,,,,,,
1,0253      ,华泰期货  ,18345,-5585,0049      ,金瑞期货  ,9704,-206,0148      ,中信期货  ,15329,493,
2,0163      ,东证期货  ,11345,-4984,0004      ,国泰君安  ,7468,-496,0004      ,国泰君安  ,7457,-193,
3,0148      ,中信期货  ,7723,-977,0148      ,中信期货  ,6164,186,0082      ,国投安信  ,5961,303,
4,0009      ,五矿经易  ,5954,-1198,0103      ,永安期货  ,6133,478,0009      ,五矿经易  ,5455,353,
5,0081      ,海通期货  ,4346,-328,0272      ,银河期货  ,4329,81,0049      ,金瑞期货  ,5209,-84,
6,0025      ,铜冠金源  ,3994,-469,0157      ,中国国际  ,3215,134,0047      ,迈科期货  ,5043,-6,
7,0082      ,国投安信  ,3991,-2870,0159      ,倍特期货  ,3183,-5,0058      ,国贸期货  ,4725,235,
8,0311      ,兴证期货  ,3042,-214,0315      ,云晨期货  ,2855,-16,0240      ,广发期货  ,4596,190,
9,0385      ,国富期货  ,2902,-1666,0137      ,宏源期货  ,2817,-76,0169      ,兴业期货  ,4119,284,
10,0308      ,国信期货  ,2651,145,0031      ,中航期货  ,2779,198,0103      ,永安期货  ,4004,-57,
11,0096      ,南华期货  ,2307,658,0096      ,南华期货  ,2318,293,0003      ,建信期货  ,3804,9,
12,0320      ,大有期货  ,2270,-39,0025      ,铜冠金源  ,2283,57,0025      ,铜冠金源  ,3118,415,
13,0095      ,国金期货  ,1936,1610,0253      ,华泰期货  ,2061,-152,0272      ,银河期货  ,2752,-294,
14,0272      ,银河期货  ,1901,-1344,0169      ,兴业期货  ,2022,-31,0121      ,格林大华  ,2499,-12,
15,0004      ,国泰君安  ,1893,-1519,0081      ,海通期货  ,2021,487,0253      ,华泰期货  ,2405,-295,
16,0169      ,兴业期货  ,1799,570,0034      ,方正中期  ,1946,-3,0077      ,新湖期货  ,2111,-231,
17,0034      ,方正中期  ,1553,-901,0003      ,建信期货  ,1887,-47,0008      ,上海中期  ,1762,439,
18,0274      ,中辉期货  ,1412,-2128,0069      ,申万期货  ,1856,17,0299      ,华安期货  ,1702,-124,
19,0103      ,永安期货  ,1377,-1356,0058      ,国贸期货  ,1828,75,0059      ,瑞达期货  ,1599,171,
20,0240      ,广发期货  ,1343,-390,0136      ,信达期货  ,1718,-60,0268      ,中信建投  ,1592,159,
合计:cu1912                        ,,,82084,-22985,,,68587,914,,,85242,1755,
RANK1合约代码:cu2001                        ,,,,,,,,,,
1,0163      ,东证期货  ,5033,-38,0049      ,金瑞期货  ,5990,-67,0003      ,建信期货  ,4546,0,
2,0253      ,华泰期货  ,3193,-255,0315      ,云晨期货  ,4336,0,0082      ,国投安信  ,3844,-2,
3,0148      ,中信期货  ,1918,315,0004      ,国泰君安  ,3205,727,0049      ,金瑞期货  ,3436,2,
4,0009      ,五矿经易  ,1826,-416,0025      ,铜冠金源  ,2580,191,0009      ,五矿经易  ,2877,11,
5,0385      ,国富期货  ,1297,-20,0031      ,中航期货  ,2027,101,0148      ,中信期货  ,2351,555,
6,0025      ,铜冠金源  ,1168,-447,0095      ,国金期货  ,2012,-1,0272      ,银河期货  ,1828,334,
7,0308      ,国信期货  ,1142,157,0148      ,中信期货  ,1951,261,0058      ,国贸期货  ,1721,105,
